,F,I,tfidf,H,H-tilde,H-tilde_std,N
ELMO3,8.509860886400726e-06,0.04451143990785944,3.234497631271869,8.621307531019974,8.665818970927834,0.017404218071924153,425
ELMOD1,2.0023202085648767e-08,0.0,9.055906318669118,0.0,0.0,0.0,1
ELMOD2,1.4016241459954137e-05,0.16534234229367506,3.032316644346284,9.179726683236176,9.34506902552985,0.016611786312959464,700
ELMOD3,1.1293085976305904e-05,0.13092209396395127,3.1536847475321195,8.922300776134643,9.053222870098594,0.017753258652381986,564
ELMSAN1,2.8432946961621248e-05,0.3601874066353048,2.7957527197721888,9.902000690090578,10.262188096725883,0.016254753020129662,1420
ELN,2.663085877391286e-06,0.5453221335728085,5.7088988829946725,6.488170240273967,7.033492373846776,0.018440767765050412,133
ELOF1,4.473183345933934e-05,0.12745810086436649,1.9869516065937602,10.678050387210744,10.80550848807511,0.015994749211039265,2234
ELOVL1,9.322802891078065e-05,0.3622756391998294,1.8251607121410054,11.212369289446338,11.574644928646167,0.013047258069288957,4656
ELOVL2,1.1613457209676285e-06,0.41780840520971196,6.590899249705248,5.431172589917857,5.848980995127569,0.017271663059022866,58
ELOVL3,1.4016241459954136e-07,0.28542857142858846,8.474837991014574,2.5216406363433186,2.807069207771907,0.009030560356171691,7
ELOVL4,5.466334169382113e-06,0.2624796566979466,4.177853530363039,7.788290417554418,8.050770074252364,0.01751499939267345,273
ELOVL5,6.675735575355298e-05,0.17327562234667582,1.7732404417162848,11.07156500145446,11.244840623801135,0.014494628666606597,3334
ELOVL6,1.073243631790774e-05,0.2294788664458487,3.4480474581292477,8.754906377921445,8.984385244367294,0.01736382152845132,536
ELOVL7,1.1633480411761933e-05,0.3796036139451928,3.7265656915475383,8.714601399911995,9.094205013857188,0.016491917241939935,581
ELP2,2.6190348328028586e-05,0.18358768597994946,2.5084412204671445,9.975852193971189,10.159439879951139,0.016119977956392556,1308
ELP3,2.288651998389654e-05,0.21307378252517672,2.6956233800902853,9.773786733231598,9.986860515756774,0.015967056987413655,1143
ELP4,1.557805122263474e-05,0.18029845561370905,2.965613030111828,9.305035390585424,9.485333846199133,0.016597472406801775,778
ELP5,3.267786580377879e-05,0.22363851460297646,2.395508834405791,10.209864849023715,10.433503363626691,0.01590374181108802,1632
ELP6,1.4576891118352302e-05,0.07969261998059451,2.827801818327599,9.316833719857138,9.396526339837733,0.01676325705115773,728
ELSPBP1,2.0023202085648767e-08,0.0,9.055906318669118,0.0,0.0,0.0,1
EMB,1.1633480411761933e-05,0.19926731276517096,3.2838145450316003,8.894014189856104,9.093281502621275,0.016897648515707745,581
EMBP1,2.6030162711343396e-07,-0.001999999999936719,6.490956961207582,3.700439718141092,3.6984397181411555,0.01742676983710645,13
EMC1,2.204554549629929e-05,0.19815805038932766,2.704532048007523,9.740945744882795,9.939103795272123,0.016431539004066593,1101
EMC10,0.00037617589758308335,0.29040748298943875,1.1095638290023686,12.197416938312065,12.487824421301504,0.007663305809458912,18787
EMC2,2.59500699030008e-05,0.15561967995932058,2.4684572205457593,9.992051784879212,10.147671464838533,0.016417882875990587,1296
EMC3,5.290129991028404e-05,0.12937416386842315,1.861821943626103,10.865155656788751,10.994529820657174,0.014830309100416718,2642
EMC4,0.00011144914280872104,0.07602298141114971,1.300638879599299,11.658905811110133,11.734928792521282,0.012678342276200875,5566
EMC6,8.203505894490299e-05,0.1685138373459676,1.6092764742789034,11.284618678605078,11.453132515951046,0.013973176811774611,4097
EMC7,9.404898019629226e-05,0.13205657568143714,1.4715717820270628,11.450983269801807,11.583039845483244,0.013234241906311306,4697
EMC8,3.478030202277191e-05,0.19391259727151322,2.2881877297599296,10.31519497761838,10.509107574889892,0.015810435522745667,1737
EMC9,1.1993898049303611e-05,0.05513262900526428,2.946668483141553,9.080319079259024,9.135451708264288,0.017228262275211265,599
EMCN,3.003480312847315e-06,1.0896493709202808,8.380239236516603,6.115807294492207,7.205456665412488,0.017406285956694138,150
EMD,8.674051143503046e-05,0.15415249703820422,1.5587227461865714,11.352428066793271,11.506580563831475,0.013622187186149017,4332
EME1,8.409744875972482e-07,0.04109523809514215,5.4726350873785865,5.344698375159713,5.385793613254855,0.017832109467868482,42
EME2,2.4228074523635006e-06,0.12562794228764762,4.634962287564338,6.774154352941314,6.899782295228961,0.017545488460371874,121
EMG1,4.507222789479537e-05,0.1891276568403626,2.091699651998513,10.625059289000761,10.814186945841124,0.015776460657765265,2251
EMID1,1.0412065084537358e-06,0.1836153846153339,5.759562835784493,5.508132025833399,5.691747410448733,0.01783072941601725,52
EMILIN1,2.3106775206838675e-05,2.0003351788938577,9.871163535590263,8.000074688093422,10.00040986698728,0.01661219124731211,1154
EMILIN2,4.785545298470055e-06,0.7103515884219256,5.51121049239357,7.152882891786153,7.863234480208079,0.017738684864751383,239
EMILIN3,1.4016241459954136e-07,-0.0011428571428400147,7.109996169613805,2.807354922057604,2.806212064914764,0.018033981527483048,7
EML1,7.708932802974775e-06,0.17150524415987078,3.640026917693422,8.35818246025197,8.52968770441184,0.017586484836464994,385
EML2,3.147647367863986e-05,0.22479529801830544,2.4416248697449854,10.1626220400493,10.387417338067605,0.016243371201436544,1572
EML3,2.3106775206838675e-05,0.19415110500140642,2.647377887115948,9.805389256054513,9.999540361055919,0.016787436380426433,1154
EML4,3.540102128742702e-05,0.23885384917436348,2.3766583048725196,10.29147002997387,10.530323879148234,0.015700365171565245,1768
EML5,2.6230394732199885e-06,0.21388433894768966,4.807512327240586,6.798652867933149,7.012537206880839,0.017244469584890298,131
EML6,3.163665929532505e-06,0.3090999351401269,4.995079504402078,6.969889055125435,7.278988990265562,0.01706654571960135,158
EMP1,2.811257572825087e-05,1.6710314311161447,7.1511789767346485,8.578400596961199,10.249432028077344,0.016079695140455177,1404
EMP2,2.126464061495899e-05,0.30281155002293403,2.9065495869087408,9.590377508426446,9.89318905844938,0.01603970949701291,1062
EMP3,2.5589652265459125e-05,0.6895345952038117,3.6572650346451563,9.44076913289185,10.130303728095662,0.015798043806686753,1278
EMX1,2.2025522294213642e-07,0.1798181818181419,7.428653348242581,3.2776134368191157,3.4574316186372576,0.018964080886309576,11
EMX2,6.00696062569463e-08,-1.5543122344752192e-15,7.957294030001009,1.584962500721156,1.5849625007211545,2.2598729860936256e-07,3
EMX2OS,2.0023202085648767e-08,0.0,9.055906318669118,0.0,0.0,0.0,1
EN1,1.201392125138926e-07,-0.00033333333331642123,7.2641468494410635,2.584962500721156,2.5846291673878397,0.01053565374756146,6
EN2,8.009280834259507e-08,-0.0004999999999983906,7.669611957549228,2.0,1.9995000000000016,0.01580348062918229,4
ENAH,7.70693048276621e-05,0.6372536732542962,2.4360868589152664,10.754935782163157,11.392189455417453,0.014210364564148025,3849
ENAM,9.210672959398432e-06,0.2624057836991831,3.644331811771529,8.51226350199841,8.774669285697593,0.017353536450528357,460
ENC1,1.9542645235593196e-05,1.4373004022013287,6.448472882949032,8.34663583695924,9.78393623916057,0.016648097797971016,976
ENDOD1,4.3330209313343933e-05,0.5465546463237629,2.784881228935484,10.221790000616656,10.768344646940418,0.015373190611125246,2164
ENDOG,3.586155493539694e-05,0.10708530132973237,2.127384501028634,10.439161792263544,10.546247093593276,0.016413381470450596,1791
ENDOV,5.866798211095089e-06,0.11012100056850649,3.734168770672692,8.039433390243659,8.149554390812165,0.01731165179213495,293
ENG,0.00011475297115285308,2.8856528468989833,17.20082752724263,8.873305881761691,11.758958728660675,0.012834771863341879,5731
ENGASE,2.0824130169074717e-06,0.11849019663452331,4.804580570899346,6.565824333525707,6.68431453016023,0.018267051979586127,104
ENHO,8.810208917685457e-07,0.1749545454545114,5.903729551010701,5.277613436819116,5.452567982273627,0.017140583038375914,44
ENKD1,2.1905383081699752e-05,0.1318760386859914,2.560215269801711,9.799969586308665,9.931845624994656,0.01606113245025873,1094
ENKUR,4.244918842157538e-06,0.20454331506549206,4.307055550201617,7.490822989909942,7.695366304975434,0.01750962743029921,212
ENO1,0.0007644057628217273,0.3475439084665286,0.7210027224557874,12.335619388445805,12.683163296912333,0.004802069637393638,38176
ENO2,0.00010514183415174167,0.5355990040009235,2.02687721411824,11.14789935031634,11.683498354317264,0.012987265797923506,5251
ENO3,2.402784250277852e-06,0.25387561637193024,5.030795392584681,6.6339331997571565,6.887808816129087,0.018429344789019343,120
ENO4,6.00696062569463e-08,-1.5543122344752192e-15,7.957294030001009,1.584962500721156,1.5849625007211545,2.2598729860936256e-07,3
ENOPH1,5.506380573553411e-05,0.2752000245185471,2.093024453809208,10.763724325102595,11.038924349621142,0.014759487503701122,2750
ENOSF1,1.4476775107924058e-05,0.10111163173617044,2.8685680769669726,9.287928686867,9.38904031860317,0.01679717688363845,723
ENOX1,2.322691441935257e-06,0.20174332870094958,4.920536429473255,6.638069141641995,6.839812470342944,0.017060608114223223,116
ENOX2,6.4074246674076054e-06,0.2487916721403991,3.983194728060254,8.023852851183442,8.27264452332384,0.017277772975071982,320
ENPEP,2.122459421078769e-06,0.7307135947288357,6.59037283827073,5.9815108745748615,6.712224469303697,0.01725150879710827,106
ENPP1,1.7600394633285266e-05,0.35955429656528715,3.183442076116245,9.287213129519229,9.646767426084516,0.016615884058784693,879
ENPP2,0.00012876921261280723,0.6523958328939905,2.3033814027395247,11.203300996640765,11.855696829534756,0.01239393659854708,6431
ENPP3,1.6018561668519014e-07,-0.0009999999999976694,6.976464776989283,3.0,2.9990000000000023,0.01577973384251135,8
ENPP4,3.0415243968100475e-05,0.29609974437993003,2.601766607815188,10.049978825644382,10.346078570024313,0.015927095049642858,1519
ENPP5,2.2646241558868756e-05,0.41078204977266175,3.116464192763304,9.563115484125955,9.973897533898617,0.01709379689390573,1131
ENPP6,1.6018561668519014e-07,0.8428609377704359,11.91434944997603,2.1556390622295662,2.998500000000002,0.01930673457995158,8
ENSA,0.00013193287854233973,0.13710129338648613,1.2703083761768763,11.737710013720797,11.874811307107283,0.012149389056272022,6589
ENTHD1,2.0023202085648767e-08,0.0,9.055906318669118,0.0,0.0,0.0,1
ENTHD2,8.549907290572023e-06,0.23799402657090418,3.6656198609057555,8.43469910968692,8.672693136257823,0.01738958129809942,427
ENTPD1,1.5217633585093063e-06,0.3761613845964291,6.041720434764937,5.859641000228757,6.2358023848251865,0.017530430536728068,76
ENTPD2,1.2914965345243455e-05,0.38799251606412,3.5494925632638656,8.846752738699735,9.234745254763855,0.01729921222143169,645
ENTPD3,3.474025561860061e-05,0.626931530919558,3.1354371842116207,9.881217792990443,10.50814932391,0.015834094931920426,1735
ENTPD4,2.9033643024190712e-05,0.13166586854067752,2.33122641662303,10.157084262445233,10.28875013098591,0.01655787094738491,1450
ENTPD5,1.0612297105393845e-06,0.1429903816037097,5.5856440630530635,5.576977058336784,5.719967439940493,0.01732921465566279,53
ENTPD6,2.5429466648773934e-05,0.1408101532473527,2.4523763536710153,9.980634893081335,10.121445046328688,0.016698000305070987,1270
ENTPD7,2.0623898148218228e-06,0.10071330752415619,4.758382680794544,6.5699956728142865,6.670708980338443,0.017915591196086655,103
ENTPD8,3.804408396273266e-07,0.10263157894739461,6.5080642585936745,4.142664355548848,4.245295934496243,0.016434205247250092,19
ENY2,9.23870544231834e-05,0.1079061382466815,1.444653909226111,11.45835734156719,11.566263479813871,0.013572909477510994,4614
EOGT,7.288445559176151e-06,0.15198662452972833,3.6210150809260093,8.300350203373622,8.45233682790335,0.016949474589685876,364
EOMES,1.201392125138926e-07,0.33233333333335047,8.935762087482022,2.2516291673878226,2.583962500721173,0.018230011882105025,6
EP300,4.5512738340679646e-05,0.17728478499197564,2.0441983097941603,10.649376119306169,10.826660904298144,0.01498964110497821,2273
EP400,2.0523782137789986e-05,0.1565105492565504,2.677227221497624,9.691566267525548,9.848076816782099,0.016846715978290537,1025
EP400NL,4.1247796296436455e-06,0.1368502093546109,4.157231833563768,7.517787481056211,7.654637690410822,0.01750408471671489,206
EPAS1,0.0001681348279131927,0.8622165763218117,2.4265716911521746,11.193824278252752,12.056040854574563,0.010895001837920859,8397
EPB41,1.962273804393579e-05,0.2568216887887278,2.9151901839535386,9.532834938465468,9.789656627254196,0.01753835712060742,980
EPB41L1,3.812417677107525e-05,0.3137860275197344,2.418105636114994,10.305296594767954,10.619082622287689,0.015584583255406166,1904
EPB41L2,2.0724014158646474e-05,0.3520577591377201,3.0733222289792788,9.509008705990293,9.861066465128014,0.016077806299973973,1035
EPB41L3,4.585313277613568e-05,0.5096501333006174,2.6773287498767444,10.324737846139069,10.834387979439686,0.01588513151022547,2290
EPB41L4A,3.3638979503889928e-06,0.22121516624565896,4.607166213135409,7.145235428705386,7.366450594951045,0.01754764480269379,168
EPB41L4B,4.969758757658024e-05,0.39373936189441494,2.370600496905345,10.532921302186345,10.92666066408076,0.015179243892623102,2482
EPB41L5,1.705976817697275e-05,0.182375016740572,2.874463343036621,9.423297281572724,9.605672298313296,0.016794385165191283,852
EPB42,4.0046404171297534e-08,6.661338147750939e-16,8.362759138109174,1.0,1.0000000000000007,0.0,2
EPC1,3.914536007744334e-05,0.2067193069845885,2.2313242869952186,10.443488498023745,10.650207805008334,0.015679650153716945,1955
EPC2,1.0952691540849876e-05,0.10260676109433042,3.1252660927299654,8.90933772204152,9.011944483135851,0.016788515860934942,547
EPCAM,0.0002939005602131526,0.33852593110049156,1.231751304554888,12.043789274037124,12.382315205137616,0.008749360929871481,14678
EPDR1,1.2134060463903152e-05,0.41392663260640106,3.77559678579472,8.737056177338124,9.150982809944525,0.017058153214903046,606
EPG5,2.012331809607701e-05,0.52622097110741,3.3326947763322345,9.296550598131944,9.822771569239354,0.016039458602916706,1005
EPGN,2.0023202085648767e-08,0.0,9.055906318669118,0.0,0.0,0.0,1
EPHA1,2.302668239849608e-06,0.08722361554325975,4.6048093595467625,6.741142224857418,6.828365840400678,0.01700279114851877,115
EPHA10,1.0011601042824384e-07,-0.0011999999999692257,7.446468406235018,2.321928094887362,2.320728094887393,0.021876014259407064,5
EPHA2,1.511751757466482e-05,0.9085253765527703,4.814327586055497,8.537454282485342,9.445979659038112,0.016493172926173808,755
EPHA3,8.60997689682897e-07,0.260134302426307,6.131257021961514,5.15859556855496,5.418729870981267,0.018821756470751582,43
EPHA4,1.6419025710231988e-06,0.24015393706903776,5.4430235607159885,6.104443620445359,6.344597557514397,0.017573163515116747,82
EPHA5,5.606496583981654e-07,-0.0042142857143332435,5.723701808493915,4.807354922057604,4.8031406363432705,0.018002125741146097,28
EPHA6,3.2037123337038027e-07,0.24812500000000215,7.3335417017758395,3.75,3.998125000000002,0.015194057226363366,16
EPHA7,3.40394435456029e-07,-0.0030588235293818045,6.222692974612903,4.087462841250339,4.084404017720957,0.018721783843898727,17
EPHA8,1.4416705501667111e-06,0.29404507100700084,5.836759618421281,5.864369445886757,6.158414516893758,0.018128986813156042,72
EPHB1,3.003480312847315e-07,0.13093333333336776,6.87519534541485,3.7735572622751854,3.904490595608553,0.017726815845974783,15
EPHB2,2.3086752004753026e-05,0.9126656354422185,4.488096737699702,9.086112257312536,9.998777892754754,0.016543824674539086,1153
EPHB3,1.0211833063680871e-06,0.24204181597366325,5.949143006085306,5.422329508595741,5.664371324569404,0.01720457657895096,51
EPHB4,1.103278434919247e-05,0.33525995598753155,3.6404800804353648,8.68679244140802,9.022052397395552,0.016964610535397936,551
EPHB6,3.784385194187617e-06,0.4004561030556939,5.054969570002932,7.132167225728246,7.53262332878394,0.017819614161506635,189
EPHX1,9.274747206072509e-05,0.6044324600875672,2.315799179472073,10.9656012560956,11.570033716183167,0.013722739238563434,4632
EPHX2,3.558123010619786e-05,0.38475311518595134,2.652159764040995,10.151713215708046,10.536466330893997,0.015637632599634667,1777
EPHX3,2.5229234627917444e-06,0.4276260957855138,5.607927527178094,6.530734982972215,6.958361078757729,0.017610825108691372,126
EPHX4,6.207192646551117e-07,0.44741935483872375,7.592226130748183,4.502583407161069,4.950002761999793,0.017404414145843834,31
EPM2A,4.845614904727001e-06,0.1743232134649162,4.075603320747556,7.708038650461975,7.882361863926891,0.017369560594864414,242
EPM2AIP1,3.790392154813311e-05,0.18749491919298222,2.2131804906186363,10.42475810484438,10.612253024037361,0.01612836626628611,1893
EPN1,7.150285464785175e-05,0.1198346321020658,1.6368868877548206,11.197071680945157,11.316906313047223,0.01496364145929936,3571
EPN2,2.9794524703445365e-05,0.1751230691706276,2.371621376644122,10.144172111514816,10.319295180685444,0.015807240279213985,1488
EPN3,2.9834571107616664e-06,0.2824143349282684,4.941308390546209,6.913733788889497,7.196148123817766,0.017569281118453888,149
EPO,2.1024362189931206e-06,0.7286995782135639,6.969725291160717,5.9700648939764305,6.698764472189994,0.017279861309166145,105
EPOR,1.2294246080588342e-05,0.21296611127765352,3.2743713463544255,8.955842239478798,9.168808350756452,0.017218258308537442,614
EPPK1,7.809048813403019e-07,0.21825981063242494,6.129193486571672,5.06091792393498,5.279177734567405,0.017609972280621423,39
EPRS,9.440939783383393e-05,0.20662220699976075,1.5907634993208333,11.380739145189363,11.587361352189124,0.013631492691804952,4715
EPS15,4.218888679446195e-05,0.2631391295142187,2.277540070464009,10.474365701823471,10.73750483133769,0.015317155877523119,2107
EPS15L1,1.854148513131076e-05,0.17302948728862866,2.7842492452871785,9.542559943180992,9.71558943046962,0.015655229379698588,926
EPS8,1.4196450278724975e-05,0.4946140632788385,3.780992320138905,8.867205948491113,9.361820011769952,0.017260303725537753,709
EPS8L1,4.2649420442431875e-06,0.3205844213811826,4.635888481260158,7.380203634290031,7.700788055671214,0.017186965364803308,213
EPS8L2,4.3690626950885606e-05,0.14474025676462077,2.027582692430367,10.634328885834027,10.779069142598647,0.01511019807386214,2182
EPS8L3,2.122459421078769e-06,0.5970779792088816,6.486788247564105,6.114528473349483,6.711606452558365,0.017941643893580383,106
EPSTI1,1.4336612693324516e-05,0.2825694613388148,3.270036036065029,9.093014747197042,9.375584208535857,0.016723894894475972,716
EPT1,3.00548263305588e-05,0.21198918847248827,2.449677669696055,10.11870086252116,10.330690050993649,0.015802552225487453,1501
EPYC,6.567610284092795e-06,0.49067359433349456,4.685212273311922,7.815939990923741,8.306613585257235,0.017816986389017915,328
EQTN,6.00696062569463e-08,-1.5543122344752192e-15,7.957294030001009,1.584962500721156,1.5849625007211545,2.2598729860936256e-07,3
ERAL1,3.770368952727663e-05,0.17003152022757817,2.183068318766783,10.436090990406614,10.606122510634192,0.015694662813071705,1883
ERAP1,1.1052807551278118e-05,0.15411770443850337,3.2324666538143645,8.869323188630872,9.023440893069376,0.017027553803987024,552
ERAP2,2.5229234627917444e-06,0.3316398683053077,5.282335162213915,6.62597307821031,6.957612946515618,0.017037355907280154,126
ERAS,1.201392125138926e-07,-0.0013333333333167552,7.2641468494410635,2.584962500721156,2.5836291673878393,0.021039645114830512,6
ERBB2,1.1052807551278118e-05,0.30241932511285974,3.5825338512996,8.722069180451262,9.024488505564122,0.017098119966785178,552
ERBB2IP,2.5249257830003094e-05,0.1786560172865137,2.5319026532321027,9.9339041316978,10.112560148984313,0.01575521827378959,1261
ERBB3,2.6650881975998508e-05,0.6628127789466767,3.5879476666593795,9.517860625087724,10.180673404034401,0.015778179849405077,1331
ERBB4,3.2437587378751e-06,0.4339458957192459,5.219355712696869,6.880551410560138,7.314497306279384,0.017683215231201633,162
ERC1,3.241756417666535e-05,0.1437120247887833,2.2625518528482447,10.279842620783484,10.423554645572267,0.015492459714729418,1619
ERC2,1.9422506023079305e-06,0.24051915646548228,5.264538129780515,6.344707816391628,6.58522697285711,0.017654130411855817,97
ERCC1,4.188853876317722e-05,0.17117280104359267,2.1009313932280187,10.559162913465101,10.730335714508694,0.01612364570647783,2092
ERCC2,5.9068446152663864e-06,0.12339704843126853,3.7418410090076133,8.035079618825476,8.158476667256744,0.0173878113754777,295
ERCC3,2.8653202184563384e-05,0.22318584476315273,2.518785340882637,10.048398212824084,10.271584057587237,0.01601464043309734,1431
ERCC4,7.728956005060424e-06,0.25043270058481504,3.8246247635588038,8.282846221194694,8.533278921779509,0.017229980312477966,386
ERCC5,2.368744806732249e-05,0.2625525489144529,2.764235085207034,9.770063495271783,10.032616044186236,0.016664694021467526,1183
ERCC6,4.38508125675708e-06,0.2348945114820209,4.361233523802749,7.506499902057048,7.741394413539069,0.017520452473071345,219
ERCC6-PGBD3,1.4016241459954136e-07,-0.0002857142856971251,7.109996169613805,2.807354922057604,2.807069207771907,0.009030560356171691,7
ERCC6L,8.009280834259507e-08,-0.0004999999999983906,7.669611957549228,2.0,1.9995000000000016,0.01580348062918229,4
ERCC6L2,5.986937423608981e-06,0.16295758344528188,3.8288437908946387,8.014873496897165,8.177831080342447,0.017486514271194423,299
ERCC8,3.4640139608172365e-06,0.14607259761507763,4.372423116557546,7.261217823012447,7.4072904206275245,0.017570526780888013,173
EREG,2.2025522294213642e-07,1.236330952221488,13.317602557308616,2.2221915755066783,3.4585225277281664,0.012824305444958554,11
ERF,5.570454820227487e-05,0.21616418772356027,1.9637475853921407,10.83621407029533,11.05237825801889,0.015153865756242738,2782
ERG,5.666566190238601e-06,1.0078616269279372,6.879080867208876,7.093646064489455,8.101507691417392,0.017044143192885115,283
ERGIC1,0.00012240183434957091,0.5731848823156938,2.073095997895657,11.240522690809467,11.81370757312516,0.012791264625531871,6113
ERGIC2,4.2349072411147144e-05,0.1430394836925295,2.0414274667607235,10.60034467848831,10.74338416218084,0.01546935929238284,2115
ERGIC3,0.00018941949173023734,0.17121079331114686,1.1228698242925166,11.965155021976505,12.136365815287652,0.010641161279424941,9460
ERH,0.00025829930690486906,0.08034054358883225,0.8548149903921556,12.23764104279356,12.317981586382393,0.008553294371184104,12900
ERI1,8.269582461372941e-06,0.3497119051510502,3.965563974405996,8.276273948560807,8.625985853711857,0.016986201601860308,413
ERI2,4.184849235900592e-06,0.18896062568878058,4.274773902028007,7.485997110518728,7.674957736207508,0.01703444619139186,209
ERI3,3.938563850247112e-05,0.0723287823916472,1.9850795261946574,10.584742418914702,10.65707120130635,0.016299579917116624,1967
ERICH1,1.7280023399914887e-05,0.1703226636165489,2.850934700918929,9.45215818889144,9.622480852507989,0.016688135805955042,863
ERICH2,1.0011601042824382e-06,0.27208000000009935,5.990587141762338,5.363856189774724,5.6359361897748235,0.017195162069203563,50
ERICH3,1.46169375225236e-06,0.33666788293581273,5.917825724232688,5.840375586218005,6.177043469153817,0.018661890467803026,73
ERICH5,1.4536844714181005e-05,0.2866313352940999,3.2396250637031003,9.107824068679347,9.394455403973447,0.01642417754913474,726
ERICH6,8.009280834259507e-08,1.3322676295501878e-15,7.669611957549228,2.0,2.0000000000000013,0.0,4
ERLEC1,7.827069695280102e-05,0.2625869166784369,1.7905543460274316,11.145061468398348,11.407648385076785,0.014194445359612411,3909
ERLIN1,3.5781462127054345e-05,0.403404606531943,2.6766743321599606,10.140621863104212,10.544026469636155,0.015326007605351499,1787
ERLIN2,2.286649678181089e-05,0.16458077785911485,2.5804264153720893,9.82319283074818,9.987773608607295,0.016535425798647783,1142
ERMAP,4.4051044588427285e-07,0.08754545454554474,6.297640256228824,4.3685225277282065,4.456067982273751,0.017160159490628494,22
ERMARD,1.1333132380477202e-05,0.4185662706196158,3.890091636096525,8.638752125268091,9.057318395887707,0.017856914812265888,566
ERMN,1.4216473480810624e-06,0.4905758533370772,6.517248954072764,5.648202887470361,6.138778740807438,0.017296725339344152,71
ERMP1,1.0472134690794305e-05,0.22052370846284752,3.4348909451553453,8.729932504286818,8.950456212749666,0.017094083202813786,523
ERN1,2.9654362288845822e-05,0.48229623071057937,3.0160116707435245,9.831504592495381,10.31380082320596,0.016123444885238276,1481
ERN2,1.802088187708389e-07,0.22088888888888558,7.848522874112943,2.94770277922009,3.1685916681089754,0.017161541851573474,9
ERO1A,7.586791270252318e-05,0.6864556314825592,2.339917069301921,10.689473298183316,11.375928929665875,0.013599901213772466,3789
ERO1B,0.00028312807749107357,1.0580691803866493,2.9695630217218474,11.30625248838513,12.36432166877178,0.008849795155902236,14140
ERP27,1.071241311582209e-05,1.1324685286682978,6.163882370866374,7.847896502313308,8.980365030981606,0.01653266403087868,535
ERP29,0.00031658684817619263,0.18087607148926388,0.913200340886261,12.23552973960892,12.416405811098183,0.008464665705275565,15811
ERP44,8.119408445730574e-05,0.22634781560369355,1.695519884107194,11.216267635751562,11.442615451355255,0.013899819908164718,4055
ERRFI1,9.384874817543576e-05,1.0910230328971764,3.327811531216641,10.490052452286001,11.581075485183177,0.013678247061660934,4687
ERV3-1,7.348515165433097e-06,0.17556855918430259,3.6801419631594627,8.287975353637071,8.463543912821374,0.016625584841935215,367
ERVK3-1,3.1436427274468564e-06,0.13336627732233275,4.416759272213941,7.136946306202688,7.270312583525021,0.017878432108126213,157
ERVMER34-1,4.605336479699216e-07,0.430956521739124,7.878183049876553,4.088779347361361,4.519735869100485,0.018253414637158002,23
ERVMER61-1,6.00696062569463e-08,-1.5543122344752192e-15,7.957294030001009,1.584962500721156,1.5849625007211545,2.2598729860936256e-07,3
ESAM,2.046371253153304e-05,1.846377525622528,9.81309051293687,7.998718288161403,9.845095813783932,0.016649121571979945,1022
ESCO1,1.1533364401333689e-05,0.19473532349753775,3.2555545231294354,8.887341397326846,9.082076720824384,0.01728971712387415,576
ESCO2,8.009280834259507e-08,0.4995000000000016,10.609725373334678,1.5,1.9995000000000016,0.01580348062918229,4
ESD,6.2652599325995e-05,0.18066376954471508,1.821185532895139,10.997331750277928,11.177995519822643,0.014306969671387918,3129
ESM1,1.655918812483153e-05,2.4690253146164256,15.247355570797058,7.0987258842158685,9.567751198832294,0.016093784712061594,827
ESPL1,5.005800521412191e-07,0.4265955000865951,7.575217556393909,4.213660689688186,4.640256189774781,0.016584329939860056,25
ESPN,4.605336479699216e-07,0.08382608695651506,6.235994041006748,4.436605434317882,4.520431521274397,0.0161991388243213,23
ESPNL,2.2025522294213642e-07,-0.0010909090909496655,6.658011045870748,3.4594316186372973,3.4583407095463476,0.014041261518257441,11
ESR1,7.268422357090502e-06,0.3229682425932463,4.021221809171564,8.124352994299182,8.447321236892428,0.016948945556532397,363
ESR2,1.201392125138926e-07,-0.00033333333331642123,7.2641468494410635,2.584962500721156,2.5846291673878397,0.01053565374756146,6
ESRP1,2.8332830951193005e-05,0.3413017708813353,2.706206932399916,9.916248334574435,10.25755010545577,0.01573731175926579,1415
ESRP2,8.049327238430804e-06,0.23816397366256403,3.7430999549518233,8.351227499604349,8.589391473266913,0.01702435541875221,402
ESRRA,5.732642757121242e-05,0.19887001425561124,1.9000626633633086,10.885549284243023,11.084419298498634,0.015025551776987474,2863
ESRRB,4.0046404171297534e-08,1.0000000000000007,18.111812637338236,0.0,1.0000000000000007,0.0,2
ESRRG,5.286125350611274e-06,0.16179739324469278,3.9538614661871487,7.841705577675397,8.00350297092009,0.01673955707731722,264
ESYT1,0.00014969345879231016,0.39203540708658835,1.5922759439437453,11.579907522510915,11.971942929597503,0.011724855770579265,7476
ESYT2,5.009805161829321e-05,0.27042600290554475,2.1145575895901905,10.664160310421378,10.934586313326923,0.01531555504927381,2502
ESYT3,2.803248291990827e-07,-0.0011428571428293566,6.41684898905386,3.807354922057604,3.806212064914775,0.012726318529853411,14
ETAA1,6.607656688264093e-06,0.179940963919897,3.8020209016558946,8.13521717634736,8.315158140267258,0.016766603888734518,330
ETF1,8.934352770616479e-05,0.2580633027429524,1.7074188720692234,11.277492276199053,11.535555578942006,0.013586163132231429,4462
ETFA,4.7454988942987576e-05,0.14890637082635294,1.9761869644971952,10.724468712115646,10.873375082942,0.014936214336071512,2370
ETFB,0.00010372018680366061,0.23320574243433967,1.5775117437388495,11.438917364875625,11.672123107309964,0.012855734954158588,5180
ETFDH,1.9422506023079302e-05,0.1921941524258326,2.7806930009420854,9.583745573140941,9.775939725566774,0.016934442123651153,970
